链接,图片链接,标题,价格,人数,评论人数,景点,供应商,时间,出发地/旅行团/著名景点,标签
http://www.tuniu.com/tour/210166159,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,"[国庆]<德国+法国+瑞士+意大利11-13日游>欧洲自营,一价全含0自费,少女峰,新天鹅堡,黄金列车,黄金大运河,塞纳河游船法餐,木屋酒店,部分南航直飞",￥12999,97%,1459,352人,",金色山口快车，新天鹅堡，卢浮宫，凡尔赛宫，少女峰",牛人专线,国庆，9月27日，9月29日，10月4日，10月25日，11月1日，11月10日，11月22日，11月29日，12月15日，12月27日，12月29日，1月24日，1月28日，1月31日，2月2日，2月7日，3月14日，3月28日,",广州出发| 广州成团| 德国深度 国王湖 金色山口快车 凡尔赛宫 少女峰 卢浮宫 德法瑞意 新...",无自费有自由活动
http://www.tuniu.com/tour/210166170,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国+瑞士+意大利12-14日意大利深度游>欧洲自营林志颖同款，一价全含，部分国泰直飞，四五星，庄园酒店，少女峰，黄金列车，科尔马，卢浮宫，WIFI,￥15199,97%,1.9万,4908人,",叹息桥，协和广场，圣马可教堂，罗马斗兽场，米开朗基罗广场，佛罗伦萨市政厅广场，塞纳河，斯卡拉歌剧院，圣马可广场，比萨斜塔",牛人专线,国庆，9月27日，9月30日，10月4日，10月23日，11月1日,",广州出发| 深圳成团| 牛人明星产品 凡尔赛宫 塞纳河游船 佛罗伦萨 威尼斯 时尚米兰 巴黎住...",自然遗产无自费有自由活动
http://www.tuniu.com/tour/210608498,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<俄罗斯6晚8日游>广州直飞，红场，莫斯科地铁，察里津皇家庄园，冬宫博物馆，夏宫花园，谢尔盖耶夫镇，莫斯科大学，彼得堡罗要塞，保证拼房,￥5873,90%,278,18人,",莫斯科地铁，察里津诺皇家庄园，红场，滴血大教堂，青铜骑士，冬宫，谢尔盖耶夫庄园，喀山大教堂",九州风行,中秋，国庆，9月2日，9月4日，9月8日，9月9日，9月11日，9月12日，9月15日，9月16日，9月18日，9月19日，9月22日，9月23日，9月25日，9月26日，9月29日，9月30日，10月3日，10月6日，10月7日，10月10日，10月13日，10月14日，10月17日，10月20日,",广州出发| 广州成团| 广州直飞 莫斯科 圣彼得堡 冬宫博物馆 夏宫花园 谢尔盖耶夫镇",自然遗产有自由活动
http://www.tuniu.com/tour/210166155,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,"<奥地利+捷克+匈牙利11-13日游>欧洲自营, 一价全含0自费,四五星, 20到26人小团, 哈尔斯塔特，多瑙河游船，布拉格城堡, 美泉宫, 温泉小镇，轻奢下午茶",￥13499,97%,4016,847人,",马加什教堂，渔人堡，梅尔克修道院，多瑙河，美泉宫，布拉格城堡，捷克人骨教堂",牛人专线,中秋，9月24日，11月16日，1月31日，2月3日,",广州出发| 广州成团| 布拉格自由活动，渔人堡，马加什教堂，皮尔森啤酒厂，潘多夫奥特莱斯，梅克...",湖光山色免费WiFi
http://www.tuniu.com/tour/210133989,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利13日游>南航直飞欧洲，30人团，全含0自费，铁力士雪山，意深5晚，五渔村，比萨，双宫双游船，T骨牛排餐，WiFi,￥14299,98%,129,22人,",联合国总部，金色山口快车，蒙帕纳斯大厦，圣马可教堂，新天鹅堡，罗马斗兽场，大喷泉和大花钟，圣马可广场，五渔村，香榭丽舍大道",翔龙万里行,国庆，10月2日，10月23日，11月20日，12月18日，1月15日,",广州出发| 广州成团| 南航直飞 不走回头路 可全国联运 法国酒庄品酒 ",湖光山色有自由活动无自费
http://www.tuniu.com/tour/210166734,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<奥地利+德国+法国+瑞士+意大利10-12日>广州往返，欧洲自营，20到30人小团，欧陆大全景，卢浮宫，塞纳水上餐厅，新天鹅堡，加尔达湖，巴黎自由活动,￥7399,96%,659,135人,",新天鹅堡，香榭丽舍大道，卢浮宫，埃菲尔铁塔，黄金屋顶",途牛国旅,国庆，9月20日，10月4日，11月8日，11月22日，12月22日，1月26日，3月9日，3月23日,",广州出发| 广州成团| 卢浮宫入内 新天鹅堡 罗马 佛罗伦萨 威尼斯 五渔村",湖光山色
http://www.tuniu.com/tour/210140981,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法国-瑞士-意大利12-14日游>一价全含 林志颖同款 超千人出游 百分百满意度 四到五星  6处世遗 少女峰 金色快车 双宫双游船 2人/WiFi 拒签全退,￥16299,100%,1084,340人,",比萨大教堂，佛罗伦萨市政厅，杜乐丽花园，琉森湖，罗马斗兽场，米开朗基罗广场，凡尔赛宫，威尼斯大运河，古罗马废墟，巴黎歌剧院",牛人专线,9月25日，9月27日，9月30日，10月18日，10月29日，11月10日，11月20日，12月23日,",广州出发| 成都成团| 一价全含 欧洲经典 4-5星酒店 金色山口列车 米其林特色餐 塞纳河游...",湖光山色无自费可异地按指纹
http://www.tuniu.com/tour/210140187,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<英国一地8-10日游>欧洲预售 广深直飞 南航可联运 大英博物馆 牛津剑桥双大学 购物村 逃婚小镇 温德米尔湖 全程四星 保障拼房,￥8599,94%,159,32人,",特拉法尔加广场，大英博物馆，城墙，伦敦塔桥，爱丁堡城堡，约克大教堂",成功之旅,中秋，国庆，9月22日，9月29日，10月1日，10月6日，10月13日，10月20日，10月27日，11月3日，11月10日，11月17日，12月1日，12月8日，12月15日，12月22日，12月29日,",广州出发| 广州成团| 柴郡奥克斯 曼联足球场 牛津图书馆 逃婚小镇 南航往返直飞 白金汉宫 ",近市区
http://www.tuniu.com/tour/210487926,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<东欧-德国-奥地利-捷克-斯洛伐克-波兰-匈牙利12日游>全含0自费，四星，国航/海航直飞，全国免费联运，多瑙河游船，梅尔克修道院，购物村，欧洲特色餐,￥11199,98%,705,116人,",查理大桥，布拉迪斯拉发城堡，圣维特大教堂，柏林查理检查站，安德拉什大街，布拉提斯拉法，华沙老城，渔人堡，瓦豪河谷，总统府广场",五洲行（欧澳）,9月21日，10月19日，10月21日，10月26日，10月28日，11月1日，11月4日，11月11日,",广州出发| 北京成团| 全含 无自费 免费联运 渔人堡 美泉宫 ",湖光山色
http://www.tuniu.com/tour/210139255,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<波兰+捷克+奥地利+匈牙利+斯洛伐克+德国11日游>SKYTRAX五星海南航空直飞，申请免费联运，柏林，温泉小镇，CK小镇，奥斯维辛集中营,￥9999,93%,370,88人,",查理大桥，金色大厅，布拉迪斯拉发城堡，圣伊斯特万大教堂，马加什教堂，渔人堡，华沙圣十字教堂，维也纳市政厅，维也纳国家歌剧院，布拉格旧城广场",九州风行,国庆，10月3日，10月10日，10月17日，10月31日，11月14日，11月28日，12月12日，12月26日,",广州出发| 北京成团| 海航正班 双点直飞 全国联运 五国连线 奥斯维辛 柏林游览 ",null
http://www.tuniu.com/tour/210490031,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<摩洛哥+西班牙+葡萄牙16日游>广州往返，越野车进撒哈拉沙漠，好莱坞电影城 ，波尔图品酒，海鲜饭，十大景点入内参观配讲解,￥17969,94%,53,6人,",大广场，贝伦塔，罗卡角，巴特罗之家，加泰罗尼亚广场，斯帕特尔海角灯塔，奎尔公园，发现者纪念碑，航海大发现纪念碑，哥伦布广场",五洲行（深圳）,9月26日，10月17日,",广州出发| 广州成团| 半沙漠半海洋 摩洛哥皇城 不眠广场 舍夫沙万 葡式蛋挞 埃武拉 ",自然遗产有自由活动
http://www.tuniu.com/tour/210137656,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯双首都8日游>广州直飞往返 正点航班 入住四星  莫斯科往返圣彼得堡采用飞机  提升餐标 少购物店 团队免签 保证拼房,￥9799,90%,194,28人,",莫斯科地铁，涅瓦大街，彼得保罗要塞，夏宫，察里津诺皇家庄园，红场，青铜骑士，滴血大教堂，克里姆林宫，冬宫",浪漫俄罗斯,中秋，国庆，9月3日，9月10日，9月15日，9月23日，9月27日，10月3日，10月8日，10月11日，10月13日，10月15日，10月20日，10月24日，10月25日,",广州出发| 广州成团| 经典深度 酒店自助早餐 俄式特色餐 领队+导游 ",湖光山色
http://www.tuniu.com/tour/210140222,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利12日游>广深往返欧洲，卢浮宫入内 ，琉森湖，新天鹅堡，醉美小镇五渔村，CF线含科尔马，EF线奥莱购物村，南航直飞可联运,￥6719,92%,207,45人,",叹息桥，巴黎圣母院，圣马可教堂，琉森湖，圣母百花大教堂，罗马斗兽场，埃菲尔铁塔，凯旋门，塞纳河，圣马可广场",成功之旅,中秋，国庆，9月24日，9月29日，10月5日，10月12日，10月19日，11月23日，11月26日，11月30日，12月3日，12月14日，12月21日，12月28日，1月4日，1月11日，1月14日，1月18日，1月21日，1月25日，2月11日，2月15日，2月22日，2月25日，3月1日，3月8日，3月11日，3月15日,",广州出发| 广州成团| 瑞士小镇琉森 佛罗伦萨 威尼斯 不走回头 优质领队",湖光山色有自由活动
http://www.tuniu.com/tour/210654801,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利12-13日游>欧洲热销，广州出发，一价全包，四五星，瑞士雪山，塞纳河游船，新天鹅堡，意大利深度，南航可联运，WIFI,￥12388,97%,132,34人,",琉森（卢塞恩），叹息桥，协和广场，佛罗伦萨市政厅，许愿泉，圣马可教堂，琉森湖，凡尔赛宫，卢克索方尖碑，塞纳河",翔龙万里行,9月28日，10月13日，10月20日，10月27日，11月10日，11月17日，11月24日，12月1日，12月15日，12月22日,",广州出发| 广州成团| 雪山 塞纳河游船 产品升级 四/五星 WIFI 含服务费",null
http://www.tuniu.com/tour/210440633,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯7或8日游>广州起止，俄航四飞，全程四星，红场，克里姆林宫，莫斯科地铁，冬宫，夏宫宫殿，叶卡琳娜花园琥珀宫，跟团免签，保证拼房,￥8543,97%,263,60人,",夏宫，彼得保罗要塞，红场，滴血大教堂，青铜骑士，涅瓦大街，克里姆林宫，冬宫，亚历山大花园，瓦西里大教堂",享游俄罗斯,中秋，国庆，9月22日，9月26日，10月1日，10月4日，10月5日，10月6日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日,",广州出发| 广州成团| 中俄美食搭配 感受苏联文化 探索战斗民族 游览经典景点 ",湖光山色有自由活动
